country,shocked_region,shock_severity,impact_level
The former Yugoslav Republic of Macedonia,FSU,Low,No Impact
Vanuatu,FSU,Low,No Impact
New Zealand,FSU,Low,No Impact
Nicaragua,FSU,Low,No Impact
Niger,FSU,Low,No Impact
Nigeria,FSU,Low,No Impact
Bangladesh,FSU,Low,No Impact
Niue,FSU,Low,No Impact
Norfolk Island,FSU,Low,No Impact
Norway,FSU,Low,No Impact
Northern Mariana Islands,FSU,Low,No Impact
Pacific Islands Trust Territory,FSU,Low,No Impact
Pakistan,FSU,Low,No Impact
Panama,FSU,Low,No Impact
Czech Republic,FSU,Low,No Impact
Czechoslovakia,FSU,Low,No Impact
Papua New Guinea,FSU,Low,No Impact
Paraguay,FSU,Low,No Impact
Bermuda,FSU,Low,No Impact
Peru,FSU,Low,No Impact
Philippines,FSU,Low,No Impact
Poland,FSU,Low,No Impact
Portugal,FSU,Low,No Impact
Guinea-Bissau,FSU,Low,No Impact
Timor-Leste,FSU,Low,No Impact
Eritrea,FSU,Low,No Impact
Qatar,FSU,Low,No Impact
Bhutan,FSU,Low,No Impact
Palau,FSU,Low,No Impact
Zimbabwe,FSU,Low,No Impact
Romania,FSU,Low,No Impact
Rwanda,FSU,Low,No Impact
Russian Federation,FSU,Low,Low Impact
USSR,FSU,Low,Low Impact
Saint Helena,FSU,Low,No Impact
Saint Kitts and Nevis,FSU,Low,No Impact
Saint Lucia,FSU,Low,No Impact
Bolivia (Plurinational State of),FSU,Low,No Impact
Saint Pierre and Miquelon,FSU,Low,No Impact
Saint Vincent and the Grenadines,FSU,Low,No Impact
Sao Tome and Principe,FSU,Low,No Impact
Saudi Arabia,FSU,Low,No Impact
Senegal,FSU,Low,No Impact
Seychelles,FSU,Low,No Impact
Sierra Leone,FSU,Low,No Impact
Slovenia,FSU,Low,No Impact
Slovakia,FSU,Low,No Impact
Yugoslav SFR,FSU,Low,No Impact
Afghanistan,FSU,Low,No Impact
Botswana,FSU,Low,No Impact
Singapore,FSU,Low,No Impact
Somalia,FSU,Low,No Impact
South Africa,FSU,Low,No Impact
Spain,FSU,Low,No Impact
Western Sahara,FSU,Low,No Impact
Suriname,FSU,Low,No Impact
Tajikistan,FSU,Low,Low Impact
Swaziland,FSU,Low,No Impact
Brazil,FSU,Low,No Impact
Sweden,FSU,Low,No Impact
Switzerland,FSU,Low,No Impact
Syrian Arab Republic,FSU,Low,No Impact
Turkmenistan,FSU,Low,Low Impact
United Republic of Tanzania,FSU,Low,No Impact
Thailand,FSU,Low,No Impact
Togo,FSU,Low,No Impact
Tonga,FSU,Low,No Impact
Aruba,FSU,Low,No Impact
Trinidad and Tobago,FSU,Low,No Impact
Oman,FSU,Low,No Impact
Tunisia,FSU,Low,No Impact
Turkey,FSU,Low,No Impact
,FSU,Low,No Impact
United Arab Emirates,FSU,Low,No Impact
Uganda,FSU,Low,No Impact
Tuvalu,FSU,Low,No Impact
United Kingdom,FSU,Low,No Impact
Belize,FSU,Low,No Impact
Ukraine,FSU,Low,Low Impact
United States of America,FSU,Low,No Impact
Burkina Faso,FSU,Low,No Impact
Uruguay,FSU,Low,No Impact
Uzbekistan,FSU,Low,Low Impact
Venezuela (Bolivarian Republic of),FSU,Low,No Impact
Viet Nam,FSU,Low,No Impact
Ethiopia,FSU,Low,No Impact
Ethiopia PDR,FSU,Low,No Impact
British Virgin Islands,FSU,Low,No Impact
Wallis and Futuna Islands,FSU,Low,No Impact
Samoa,FSU,Low,No Impact
Yemen,FSU,Low,No Impact
Yemen Ar Rp,FSU,Low,No Impact
Yemen Dem,FSU,Low,No Impact
Solomon Islands,FSU,Low,No Impact
Democratic Republic of the Congo,FSU,Low,No Impact
Zambia,FSU,Low,No Impact
,FSU,Low,No Impact
Belgium,FSU,Low,No Impact
Belgium-Luxembourg,FSU,Low,No Impact
Luxembourg,FSU,Low,No Impact
Anguilla,FSU,Low,No Impact
Brunei Darussalam,FSU,Low,No Impact
Bulgaria,FSU,Low,No Impact
Mayotte,FSU,Low,No Impact
Serbia,FSU,Low,No Impact
Serbia and Montenegro,FSU,Low,No Impact
Montenegro,FSU,Low,No Impact
Sudan,FSU,Low,No Impact
South Sudan,FSU,Low,No Impact
Myanmar,FSU,Low,No Impact
Burundi,FSU,Low,No Impact
,FSU,Low,No Impact
Albania,FSU,Low,No Impact
Antarctica,FSU,Low,No Impact
Cameroon,FSU,Low,No Impact
Canada,FSU,Low,No Impact
Cape Verde,FSU,Low,No Impact
China,FSU,Low,No Impact
Cayman Islands,FSU,Low,No Impact
Central African Republic,FSU,Low,No Impact
Sri Lanka,FSU,Low,No Impact
Chad,FSU,Low,No Impact
Algeria,FSU,Low,No Impact
Chile,FSU,Low,No Impact
Christmas Island,FSU,Low,No Impact
Colombia,FSU,Low,No Impact
Comoros,FSU,Low,No Impact
Congo,FSU,Low,No Impact
Cook Islands,FSU,Low,No Impact
Costa Rica,FSU,Low,No Impact
Cuba,FSU,Low,No Impact
American Samoa,FSU,Low,No Impact
Cyprus,FSU,Low,No Impact
Azerbaijan,FSU,Low,Low Impact
Benin,FSU,Low,No Impact
Denmark,FSU,Low,No Impact
Dominica,FSU,Low,No Impact
Dominican Republic,FSU,Low,No Impact
Belarus,FSU,Low,Low Impact
Ecuador,FSU,Low,No Impact
Egypt,FSU,Low,No Impact
Andorra,FSU,Low,No Impact
El Salvador,FSU,Low,No Impact
Equatorial Guinea,FSU,Low,No Impact
Estonia,FSU,Low,No Impact
Faroe Islands,FSU,Low,No Impact
Falkland Islands (Malvinas),FSU,Low,No Impact
Fiji,FSU,Low,No Impact
Finland,FSU,Low,No Impact
France,FSU,Low,No Impact
Angola,FSU,Low,No Impact
French Polynesia,FSU,Low,No Impact
Djibouti,FSU,Low,No Impact
Georgia,FSU,Low,Low Impact
Gabon,FSU,Low,No Impact
Gambia,FSU,Low,No Impact
Germany,FSU,Low,No Impact
Germany Fr,FSU,Low,No Impact
Germany Nl,FSU,Low,No Impact
Antigua and Barbuda,FSU,Low,No Impact
Bosnia and Herzegovina,FSU,Low,No Impact
Ghana,FSU,Low,No Impact
Gibraltar,FSU,Low,No Impact
Kiribati,FSU,Low,No Impact
Greece,FSU,Low,No Impact
Greenland,FSU,Low,No Impact
Grenada,FSU,Low,No Impact
Guam,FSU,Low,No Impact
Guatemala,FSU,Low,No Impact
Argentina,FSU,Low,No Impact
Guinea,FSU,Low,No Impact
Guyana,FSU,Low,No Impact
Haiti,FSU,Low,No Impact
Holy See,FSU,Low,No Impact
Honduras,FSU,Low,No Impact
Hungary,FSU,Low,No Impact
Croatia,FSU,Low,No Impact
Iceland,FSU,Low,No Impact
Armenia,EUR,Mid,Low Impact
Australia,EUR,Mid,Low Impact
India,EUR,Mid,Low Impact
Indonesia,EUR,Mid,Low Impact
Iran (Islamic Republic of),EUR,Mid,No Impact
Iraq,EUR,Mid,Low Impact
Ireland,EUR,Mid,Low Impact
Israel,EUR,Mid,No Impact
Italy,EUR,Mid,Low Impact
Cote d'Ivoire,EUR,Mid,Medium Impact
Kazakhstan,EUR,Mid,Low Impact
Jamaica,EUR,Mid,Medium Impact
Austria,EUR,Mid,Medium Impact
Japan,EUR,Mid,Low Impact
Jordan,EUR,Mid,Low Impact
Kyrgyzstan,EUR,Mid,Low Impact
Kenya,EUR,Mid,Low Impact
Cambodia,EUR,Mid,Medium Impact
Democratic People's Republic of Korea,EUR,Mid,Medium Impact
Republic of Korea,EUR,Mid,Low Impact
Kuwait,EUR,Mid,Medium Impact
Latvia,EUR,Mid,Serious Impact
Bahamas,EUR,Mid,Medium Impact
Lao People's Democratic Republic,EUR,Mid,Medium Impact
Lebanon,EUR,Mid,Low Impact
Lesotho,EUR,Mid,Medium Impact
Liberia,EUR,Mid,Medium Impact
Libya,EUR,Mid,Low Impact
Lithuania,EUR,Mid,Serious Impact
Marshall Islands,EUR,Mid,Medium Impact
Madagascar,EUR,Mid,Medium Impact
Bahrain,EUR,Mid,Medium Impact
Malawi,EUR,Mid,Serious Impact
Malaysia,EUR,Mid,Low Impact
Maldives,EUR,Mid,Medium Impact
Mali,EUR,Mid,Low Impact
Malta,EUR,Mid,Serious Impact
Mauritania,EUR,Mid,Serious Impact
Mauritius,EUR,Mid,Medium Impact
Mexico,EUR,Mid,Low Impact
Barbados,EUR,Mid,Medium Impact
Mongolia,EUR,Mid,Medium Impact
Montserrat,EUR,Mid,Medium Impact
Morocco,EUR,Mid,Low Impact
Mozambique,EUR,Mid,Low Impact
Micronesia (Federated States of),EUR,Mid,Medium Impact
Republic of Moldova,EUR,Mid,Low Impact
Namibia,EUR,Mid,Serious Impact
Nauru,EUR,Mid,Medium Impact
Nepal,EUR,Mid,Medium Impact
Netherlands,EUR,Mid,Low Impact
,EUR,Mid,Medium Impact
New Caledonia,EUR,Mid,Medium Impact
The former Yugoslav Republic of Macedonia,EUR,Mid,Medium Impact
Vanuatu,EUR,Mid,Medium Impact
New Zealand,EUR,Mid,Low Impact
Nicaragua,EUR,Mid,Medium Impact
Niger,EUR,Mid,Medium Impact
Nigeria,EUR,Mid,Low Impact
Bangladesh,EUR,Mid,Low Impact
Niue,EUR,Mid,Medium Impact
Norfolk Island,EUR,Mid,Medium Impact
Norway,EUR,Mid,Low Impact
Northern Mariana Islands,EUR,Mid,Medium Impact
Pacific Islands Trust Territory,EUR,Mid,Medium Impact
Pakistan,EUR,Mid,Low Impact
Panama,EUR,Mid,Medium Impact
Czech Republic,EUR,Mid,Serious Impact
Czechoslovakia,EUR,Mid,Serious Impact
Papua New Guinea,EUR,Mid,Serious Impact
Paraguay,EUR,Mid,Low Impact
Bermuda,EUR,Mid,Medium Impact
Peru,EUR,Mid,Low Impact
Philippines,EUR,Mid,Low Impact
Poland,EUR,Mid,Medium Impact
Portugal,EUR,Mid,Low Impact
Guinea-Bissau,EUR,Mid,Serious Impact
Timor-Leste,EUR,Mid,Medium Impact
Eritrea,EUR,Mid,Low Impact
Qatar,EUR,Mid,Medium Impact
Bhutan,EUR,Mid,Medium Impact
Palau,EUR,Mid,Serious Impact
Zimbabwe,EUR,Mid,Serious Impact
Romania,EUR,Mid,Serious Impact
Rwanda,EUR,Mid,Low Impact
Russian Federation,EUR,Mid,Low Impact
USSR,EUR,Mid,Low Impact
Saint Helena,EUR,Mid,Medium Impact
Saint Kitts and Nevis,EUR,Mid,Medium Impact
Saint Lucia,EUR,Mid,Medium Impact
Bolivia (Plurinational State of),EUR,Mid,Low Impact
Saint Pierre and Miquelon,EUR,Mid,Medium Impact
Saint Vincent and the Grenadines,EUR,Mid,Serious Impact
Sao Tome and Principe,EUR,Mid,Medium Impact
Saudi Arabia,EUR,Mid,Low Impact
Senegal,EUR,Mid,Low Impact
Seychelles,EUR,Mid,Medium Impact
Sierra Leone,EUR,Mid,Medium Impact
Slovenia,EUR,Mid,Medium Impact
Slovakia,EUR,Mid,Serious Impact
Yugoslav SFR,EUR,Mid,Serious Impact
Afghanistan,EUR,Mid,Low Impact
Botswana,EUR,Mid,Medium Impact
Singapore,EUR,Mid,Serious Impact
Somalia,EUR,Mid,Medium Impact
South Africa,EUR,Mid,Low Impact
Spain,EUR,Mid,Low Impact
Western Sahara,EUR,Mid,Medium Impact
Suriname,EUR,Mid,Medium Impact
Tajikistan,EUR,Mid,Low Impact
Swaziland,EUR,Mid,Medium Impact
Brazil,EUR,Mid,Low Impact
Sweden,EUR,Mid,Low Impact
Switzerland,EUR,Mid,Medium Impact
Syrian Arab Republic,EUR,Mid,Low Impact
Turkmenistan,EUR,Mid,Low Impact
United Republic of Tanzania,EUR,Mid,Low Impact
Thailand,EUR,Mid,Low Impact
Togo,EUR,Mid,Medium Impact
Tonga,EUR,Mid,Medium Impact
Aruba,EUR,Mid,Serious Impact
Trinidad and Tobago,EUR,Mid,Low Impact
Oman,EUR,Mid,Low Impact
Tunisia,EUR,Mid,Low Impact
Turkey,EUR,Mid,Low Impact
,EUR,Mid,Medium Impact
United Arab Emirates,EUR,Mid,Low Impact
Uganda,EUR,Mid,Serious Impact
Tuvalu,EUR,Mid,Medium Impact
United Kingdom,EUR,Mid,Low Impact
Belize,EUR,Mid,Medium Impact
Ukraine,EUR,Mid,Low Impact
United States of America,EUR,Mid,Low Impact
Burkina Faso,EUR,Mid,Low Impact
Uruguay,EUR,Mid,Low Impact
Uzbekistan,EUR,Mid,Low Impact
Venezuela (Bolivarian Republic of),EUR,Mid,Low Impact
Viet Nam,EUR,Mid,Low Impact
Ethiopia,EUR,Mid,Low Impact
Ethiopia PDR,EUR,Mid,Low Impact
British Virgin Islands,EUR,Mid,Medium Impact
Wallis and Futuna Islands,EUR,Mid,Medium Impact
Samoa,EUR,Mid,Medium Impact
Yemen,EUR,Mid,Low Impact
Yemen Ar Rp,EUR,Mid,Low Impact
Yemen Dem,EUR,Mid,Low Impact
Solomon Islands,EUR,Mid,Medium Impact
Democratic Republic of the Congo,EUR,Mid,Low Impact
Zambia,EUR,Mid,Low Impact
,EUR,Mid,Medium Impact
Belgium,EUR,Mid,Low Impact
Belgium-Luxembourg,EUR,Mid,Low Impact
Luxembourg,EUR,Mid,No Impact
Anguilla,EUR,Mid,Medium Impact
Brunei Darussalam,EUR,Mid,Medium Impact
Bulgaria,EUR,Mid,Serious Impact
Mayotte,EUR,Mid,Medium Impact
Serbia,EUR,Mid,Serious Impact
Serbia and Montenegro,EUR,Mid,Serious Impact
Montenegro,EUR,Mid,Medium Impact
Sudan,EUR,Mid,Low Impact
South Sudan,EUR,Mid,Medium Impact
Myanmar,EUR,Mid,Low Impact
Burundi,EUR,Mid,Medium Impact
,EUR,Mid,Medium Impact
Albania,EUR,Mid,Serious Impact
Antarctica,EUR,Mid,Medium Impact
Cameroon,EUR,Mid,Medium Impact
Canada,EUR,Mid,Low Impact
Cape Verde,EUR,Mid,Medium Impact
China,EUR,Mid,Low Impact
Cayman Islands,EUR,Mid,Medium Impact
Central African Republic,EUR,Mid,Medium Impact
Sri Lanka,EUR,Mid,Medium Impact
Chad,EUR,Mid,Medium Impact
Algeria,EUR,Mid,Low Impact
Chile,EUR,Mid,Low Impact
Christmas Island,EUR,Mid,Medium Impact
Colombia,EUR,Mid,Low Impact
Comoros,EUR,Mid,Medium Impact
Congo,EUR,Mid,Low Impact
Cook Islands,EUR,Mid,Medium Impact
Costa Rica,EUR,Mid,Serious Impact
Cuba,EUR,Mid,Medium Impact
American Samoa,EUR,Mid,Medium Impact
Cyprus,EUR,Mid,Serious Impact
Azerbaijan,EUR,Mid,Low Impact
Benin,EUR,Mid,Medium Impact
Denmark,EUR,Mid,Low Impact
Dominica,EUR,Mid,Medium Impact
Dominican Republic,EUR,Mid,Low Impact
Belarus,EUR,Mid,Low Impact
Ecuador,EUR,Mid,Low Impact
Egypt,EUR,Mid,Low Impact
Andorra,EUR,Mid,Medium Impact
El Salvador,EUR,Mid,Low Impact
Equatorial Guinea,EUR,Mid,Medium Impact
Estonia,EUR,Mid,Serious Impact
Faroe Islands,EUR,Mid,Medium Impact
Falkland Islands (Malvinas),EUR,Mid,Medium Impact
Fiji,EUR,Mid,Low Impact
Finland,EUR,Mid,Low Impact
France,EUR,Mid,Low Impact
Angola,EUR,Mid,Low Impact
French Polynesia,EUR,Mid,Medium Impact
Djibouti,EUR,Mid,Medium Impact
Georgia,EUR,Mid,Low Impact
Gabon,EUR,Mid,Medium Impact
Gambia,EUR,Mid,Medium Impact
Germany,EUR,Mid,Low Impact
Germany Fr,EUR,Mid,Low Impact
Germany Nl,EUR,Mid,Low Impact
Antigua and Barbuda,EUR,Mid,Medium Impact
Bosnia and Herzegovina,EUR,Mid,Low Impact
Ghana,EUR,Mid,Low Impact
Gibraltar,EUR,Mid,Medium Impact
Kiribati,EUR,Mid,Medium Impact
Greece,EUR,Mid,Serious Impact
Greenland,EUR,Mid,Medium Impact
Grenada,EUR,Mid,Medium Impact
Guam,EUR,Mid,Medium Impact
Guatemala,EUR,Mid,Low Impact
Argentina,EUR,Mid,Low Impact
Guinea,EUR,Mid,Low Impact
Guyana,EUR,Mid,Medium Impact
Haiti,EUR,Mid,Medium Impact
Holy See,EUR,Mid,Medium Impact
Honduras,EUR,Mid,Low Impact
Hungary,EUR,Mid,Serious Impact
Croatia,EUR,Mid,Serious Impact
Iceland,EUR,Mid,Medium Impact
Armenia,NAF,Low,No Impact
Australia,NAF,Low,No Impact
India,NAF,Low,No Impact
Indonesia,NAF,Low,No Impact
Iran (Islamic Republic of),NAF,Low,No Impact
Iraq,NAF,Low,No Impact
Ireland,NAF,Low,No Impact
Israel,NAF,Low,No Impact
Italy,NAF,Low,No Impact
Cote d'Ivoire,NAF,Low,No Impact
Kazakhstan,NAF,Low,No Impact
Jamaica,NAF,Low,No Impact
Austria,NAF,Low,No Impact
Japan,NAF,Low,No Impact
Jordan,NAF,Low,No Impact
Kyrgyzstan,NAF,Low,No Impact
Kenya,NAF,Low,No Impact
Cambodia,NAF,Low,No Impact
Democratic People's Republic of Korea,NAF,Low,No Impact
Republic of Korea,NAF,Low,No Impact
Kuwait,NAF,Low,No Impact
Latvia,NAF,Low,No Impact
Bahamas,NAF,Low,No Impact
Lao People's Democratic Republic,NAF,Low,No Impact
Lebanon,NAF,Low,No Impact
Lesotho,NAF,Low,No Impact
Liberia,NAF,Low,No Impact
Libya,NAF,Low,No Impact
Lithuania,NAF,Low,No Impact
Marshall Islands,NAF,Low,No Impact
Madagascar,NAF,Low,No Impact
Bahrain,NAF,Low,No Impact
Malawi,NAF,Low,No Impact
Malaysia,NAF,Low,No Impact
Maldives,NAF,Low,No Impact
Mali,NAF,Low,No Impact
Malta,NAF,Low,No Impact
Mauritania,NAF,Low,No Impact
Mauritius,NAF,Low,No Impact
Mexico,NAF,Low,Low Impact
Barbados,NAF,Low,No Impact
Mongolia,NAF,Low,No Impact
Montserrat,NAF,Low,No Impact
Morocco,NAF,Low,No Impact
Mozambique,NAF,Low,No Impact
Micronesia (Federated States of),NAF,Low,No Impact
Republic of Moldova,NAF,Low,No Impact
Namibia,NAF,Low,No Impact
Nauru,NAF,Low,No Impact
Nepal,NAF,Low,No Impact
Netherlands,NAF,Low,No Impact
,NAF,Low,No Impact
New Caledonia,NAF,Low,No Impact
The former Yugoslav Republic of Macedonia,NAF,Low,No Impact
Vanuatu,NAF,Low,No Impact
New Zealand,NAF,Low,No Impact
Nicaragua,NAF,Low,No Impact
Niger,NAF,Low,No Impact
Nigeria,NAF,Low,No Impact
Bangladesh,NAF,Low,No Impact
Niue,NAF,Low,No Impact
Norfolk Island,NAF,Low,No Impact
Norway,NAF,Low,No Impact
Northern Mariana Islands,NAF,Low,No Impact
Pacific Islands Trust Territory,NAF,Low,No Impact
Pakistan,NAF,Low,No Impact
Panama,NAF,Low,No Impact
Czech Republic,NAF,Low,No Impact
Czechoslovakia,NAF,Low,No Impact
Papua New Guinea,NAF,Low,No Impact
Paraguay,NAF,Low,No Impact
Bermuda,NAF,Low,No Impact
Peru,NAF,Low,No Impact
Philippines,NAF,Low,No Impact
Poland,NAF,Low,No Impact
Portugal,NAF,Low,No Impact
Guinea-Bissau,NAF,Low,No Impact
Timor-Leste,NAF,Low,No Impact
Eritrea,NAF,Low,No Impact
Qatar,NAF,Low,No Impact
Bhutan,NAF,Low,No Impact
Palau,NAF,Low,No Impact
Zimbabwe,NAF,Low,No Impact
Romania,NAF,Low,No Impact
Rwanda,NAF,Low,No Impact
Russian Federation,NAF,Low,No Impact
USSR,NAF,Low,No Impact
Saint Helena,NAF,Low,No Impact
Saint Kitts and Nevis,NAF,Low,No Impact
Saint Lucia,NAF,Low,No Impact
Bolivia (Plurinational State of),NAF,Low,No Impact
Saint Pierre and Miquelon,NAF,Low,No Impact
Saint Vincent and the Grenadines,NAF,Low,No Impact
Sao Tome and Principe,NAF,Low,No Impact
Saudi Arabia,NAF,Low,No Impact
Senegal,NAF,Low,No Impact
Seychelles,NAF,Low,No Impact
Sierra Leone,NAF,Low,No Impact
Slovenia,NAF,Low,No Impact
Slovakia,NAF,Low,No Impact
Yugoslav SFR,NAF,Low,No Impact
Afghanistan,NAF,Low,No Impact
Botswana,NAF,Low,No Impact
Singapore,NAF,Low,No Impact
Somalia,NAF,Low,No Impact
South Africa,NAF,Low,No Impact
Spain,NAF,Low,No Impact
Western Sahara,NAF,Low,No Impact
Suriname,NAF,Low,No Impact
Tajikistan,NAF,Low,No Impact
Swaziland,NAF,Low,No Impact
Brazil,NAF,Low,No Impact
Sweden,NAF,Low,No Impact
Switzerland,NAF,Low,No Impact
Syrian Arab Republic,NAF,Low,No Impact
Turkmenistan,NAF,Low,No Impact
United Republic of Tanzania,NAF,Low,No Impact
Thailand,NAF,Low,No Impact
Togo,NAF,Low,No Impact
Tonga,NAF,Low,No Impact
Aruba,NAF,Low,No Impact
Trinidad and Tobago,NAF,Low,No Impact
Oman,NAF,Low,No Impact
Tunisia,NAF,Low,No Impact
Turkey,NAF,Low,No Impact
,NAF,Low,No Impact
United Arab Emirates,NAF,Low,No Impact
Uganda,NAF,Low,No Impact
Tuvalu,NAF,Low,No Impact
United Kingdom,NAF,Low,No Impact
Belize,NAF,Low,No Impact
Ukraine,NAF,Low,No Impact
United States of America,NAF,Low,Low Impact
Burkina Faso,NAF,Low,No Impact
Uruguay,NAF,Low,No Impact
Uzbekistan,NAF,Low,No Impact
Venezuela (Bolivarian Republic of),NAF,Low,No Impact
Viet Nam,NAF,Low,No Impact
Ethiopia,NAF,Low,No Impact
Ethiopia PDR,NAF,Low,No Impact
British Virgin Islands,NAF,Low,No Impact
Wallis and Futuna Islands,NAF,Low,No Impact
Samoa,NAF,Low,No Impact
Yemen,NAF,Low,No Impact
Yemen Ar Rp,NAF,Low,No Impact
Yemen Dem,NAF,Low,No Impact
Solomon Islands,NAF,Low,No Impact
Democratic Republic of the Congo,NAF,Low,No Impact
Zambia,NAF,Low,No Impact
,NAF,Low,No Impact
Belgium,NAF,Low,No Impact
Belgium-Luxembourg,NAF,Low,No Impact
Luxembourg,NAF,Low,No Impact
Anguilla,NAF,Low,No Impact
Brunei Darussalam,NAF,Low,No Impact
Bulgaria,NAF,Low,No Impact
Mayotte,NAF,Low,No Impact
Serbia,NAF,Low,No Impact
Serbia and Montenegro,NAF,Low,No Impact
Montenegro,NAF,Low,No Impact
Sudan,NAF,Low,No Impact
South Sudan,NAF,Low,No Impact
Myanmar,NAF,Low,No Impact
Burundi,NAF,Low,No Impact
,NAF,Low,No Impact
Albania,NAF,Low,No Impact
Antarctica,NAF,Low,No Impact
Cameroon,NAF,Low,No Impact
Canada,NAF,Low,Low Impact
Cape Verde,NAF,Low,No Impact
China,NAF,Low,No Impact
Cayman Islands,NAF,Low,No Impact
Central African Republic,NAF,Low,No Impact
Sri Lanka,NAF,Low,No Impact
Chad,NAF,Low,No Impact
Algeria,NAF,Low,No Impact
Chile,NAF,Low,No Impact
Christmas Island,NAF,Low,No Impact
Colombia,NAF,Low,No Impact
Comoros,NAF,Low,No Impact
Congo,NAF,Low,No Impact
Cook Islands,NAF,Low,No Impact
Costa Rica,NAF,Low,No Impact
Cuba,NAF,Low,No Impact
American Samoa,NAF,Low,No Impact
Cyprus,NAF,Low,No Impact
Azerbaijan,NAF,Low,No Impact
Benin,NAF,Low,No Impact
Denmark,NAF,Low,No Impact
Dominica,NAF,Low,No Impact
Dominican Republic,NAF,Low,No Impact
Belarus,NAF,Low,No Impact
Ecuador,NAF,Low,No Impact
Egypt,NAF,Low,No Impact
Andorra,NAF,Low,No Impact
El Salvador,NAF,Low,No Impact
Equatorial Guinea,NAF,Low,No Impact
Estonia,NAF,Low,No Impact
Faroe Islands,NAF,Low,No Impact
Falkland Islands (Malvinas),NAF,Low,No Impact
Fiji,NAF,Low,No Impact
Finland,NAF,Low,No Impact
France,NAF,Low,No Impact
Angola,NAF,Low,No Impact
French Polynesia,NAF,Low,No Impact
Djibouti,NAF,Low,No Impact
Georgia,NAF,Low,No Impact
Gabon,NAF,Low,No Impact
Gambia,NAF,Low,No Impact
Germany,NAF,Low,No Impact
Germany Fr,NAF,Low,No Impact
Germany Nl,NAF,Low,No Impact
Antigua and Barbuda,NAF,Low,No Impact
Bosnia and Herzegovina,NAF,Low,No Impact
Ghana,NAF,Low,No Impact
Gibraltar,NAF,Low,No Impact
Kiribati,NAF,Low,No Impact
Greece,NAF,Low,No Impact
Greenland,NAF,Low,No Impact
Grenada,NAF,Low,No Impact
Guam,NAF,Low,No Impact
Guatemala,NAF,Low,No Impact
Argentina,NAF,Low,No Impact
Guinea,NAF,Low,No Impact
Guyana,NAF,Low,No Impact
Haiti,NAF,Low,No Impact
Holy See,NAF,Low,No Impact
Honduras,NAF,Low,No Impact
Hungary,NAF,Low,No Impact
Croatia,NAF,Low,No Impact
Iceland,NAF,Low,No Impact
Armenia,CPA,Mid,Low Impact
Australia,CPA,Mid,Low Impact
India,CPA,Mid,Low Impact
Indonesia,CPA,Mid,Low Impact
Iran (Islamic Republic of),CPA,Mid,No Impact
Iraq,CPA,Mid,Low Impact
Ireland,CPA,Mid,Low Impact
Israel,CPA,Mid,No Impact
Italy,CPA,Mid,Low Impact
Cote d'Ivoire,CPA,Mid,Low Impact
Kazakhstan,CPA,Mid,Low Impact
Jamaica,CPA,Mid,Medium Impact
Austria,CPA,Mid,Low Impact
Japan,CPA,Mid,Low Impact
Jordan,CPA,Mid,Low Impact
Kyrgyzstan,CPA,Mid,Low Impact
Kenya,CPA,Mid,Low Impact
Cambodia,CPA,Mid,Medium Impact
Democratic People's Republic of Korea,CPA,Mid,Medium Impact
Republic of Korea,CPA,Mid,Low Impact
Kuwait,CPA,Mid,Medium Impact
Latvia,CPA,Mid,Low Impact
Bahamas,CPA,Mid,Medium Impact
Lao People's Democratic Republic,CPA,Mid,Medium Impact
Lebanon,CPA,Mid,Low Impact
Lesotho,CPA,Mid,Medium Impact
Liberia,CPA,Mid,Medium Impact
Libya,CPA,Mid,Low Impact
Lithuania,CPA,Mid,Low Impact
Marshall Islands,CPA,Mid,Medium Impact
Madagascar,CPA,Mid,Medium Impact
Bahrain,CPA,Mid,Low Impact
Malawi,CPA,Mid,Low Impact
Malaysia,CPA,Mid,Low Impact
Maldives,CPA,Mid,Medium Impact
Mali,CPA,Mid,Low Impact
Malta,CPA,Mid,Low Impact
Mauritania,CPA,Mid,Low Impact
Mauritius,CPA,Mid,Low Impact
Mexico,CPA,Mid,Low Impact
Barbados,CPA,Mid,Medium Impact
Mongolia,CPA,Mid,Serious Impact
Montserrat,CPA,Mid,Medium Impact
Morocco,CPA,Mid,Low Impact
Mozambique,CPA,Mid,Low Impact
Micronesia (Federated States of),CPA,Mid,Medium Impact
Republic of Moldova,CPA,Mid,Low Impact
Namibia,CPA,Mid,Low Impact
Nauru,CPA,Mid,Medium Impact
Nepal,CPA,Mid,Medium Impact
Netherlands,CPA,Mid,Low Impact
,CPA,Mid,Medium Impact
New Caledonia,CPA,Mid,Medium Impact
The former Yugoslav Republic of Macedonia,CPA,Mid,Medium Impact
Vanuatu,CPA,Mid,Medium Impact
New Zealand,CPA,Mid,Low Impact
Nicaragua,CPA,Mid,Low Impact
Niger,CPA,Mid,Low Impact
Nigeria,CPA,Mid,Low Impact
Bangladesh,CPA,Mid,Low Impact
Niue,CPA,Mid,Medium Impact
Norfolk Island,CPA,Mid,Medium Impact
Norway,CPA,Mid,Low Impact
Northern Mariana Islands,CPA,Mid,Medium Impact
Pacific Islands Trust Territory,CPA,Mid,Medium Impact
Pakistan,CPA,Mid,Low Impact
Panama,CPA,Mid,Low Impact
Czech Republic,CPA,Mid,Low Impact
Czechoslovakia,CPA,Mid,Low Impact
Papua New Guinea,CPA,Mid,Low Impact
Paraguay,CPA,Mid,Low Impact
Bermuda,CPA,Mid,Medium Impact
Peru,CPA,Mid,Low Impact
